INDIR,FOLDER,IN FILE,DURATION,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,LATITUDE,LONGITUDE,MODEL,SERIAL NO,FIRMWARE,PREFIX,NOTES,AUTO ID,PULSES,MATCHING,MATCH RATIO,MARGIN,FILES,MANUAL ID,ORGID,USERID,REVIEW ORGID,REVIEW USERID,INPATHMD5
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230320_045002.wav,597.844,2023-03-20,04:50:02,4,2023-03-19,16:50:02,16,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,Ss9DGYQ9C+l/afV0HElH5Q==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230401_032202.wav,597.844,2023-04-01,03:22:02,3,2023-03-31,15:22:02,15,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,M32M3v//a6Ip1PKYZEOmxg==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230407_023302.wav,597.844,2023-04-07,02:33:02,2,2023-04-06,14:33:02,14,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,/fH0fVFvoOvM0JOCRsgTYg==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230319_080802.wav,597.844,2023-03-19,08:08:02,8,2023-03-18,20:08:02,20,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,Zj7wJCzmIQGMIV0CAJME+g==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230325_060902.wav,597.844,2023-03-25,06:09:02,6,2023-03-24,18:09:02,18,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,7DoRkd5DmtDbcXLXsQjfwQ==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230401_071202.wav,597.844,2023-04-01,07:12:02,7,2023-03-31,19:12:02,19,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,/OhvL1mF1n1UgyoUqzXQeA==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230407_064402.wav,597.844,2023-04-07,06:44:02,6,2023-04-06,18:44:02,18,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,rtyxHp7NH4ueTtTMWXnQRg==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230314_190002.wav,597.844,2023-03-14,19:00:02,19,2023-03-14,07:00:02,7,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,U9necxuL1shmwcymEWKK8w==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230325_061902.wav,597.844,2023-03-25,06:19:02,6,2023-03-24,18:19:02,18,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,rJAy4b6W5UVY4U1d1ZdHlw==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230319_081802.wav,597.844,2023-03-19,08:18:02,8,2023-03-18,20:18:02,20,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,mcSS6AxK0vC/V2yLZYy7zw==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230401_033202.wav,597.844,2023-04-01,03:32:02,3,2023-03-31,15:32:02,15,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,gd5UGzF0f46cooo1cx7mZA==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230407_024302.wav,597.844,2023-04-07,02:43:02,2,2023-04-06,14:43:02,14,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,eKLja2cqNF/9mu6wJT64ng==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230320_050002.wav,597.844,2023-03-20,05:00:02,5,2023-03-19,17:00:02,17,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,IqWxsizodvQS+5apYB7TwQ==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230401_072202.wav,597.844,2023-04-01,07:22:02,7,2023-03-31,19:22:02,19,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,uTDnGCWEgSwgfagFe+6kwQ==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230407_065402.wav,597.844,2023-04-07,06:54:02,6,2023-04-06,18:54:02,18,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,tACNIBqk6Sj1BxSqO0bxeA==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230319_082802.wav,417.889,2023-03-19,08:28:02,8,2023-03-18,20:28:02,20,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,hofsWngJF5QYRPWgawXBcg==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230401_034202.wav,597.844,2023-04-01,03:42:02,3,2023-03-31,15:42:02,15,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,OYgGy1WJCsTIHdWYu1l7cg==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230325_062902.wav,597.844,2023-03-25,06:29:02,6,2023-03-24,18:29:02,18,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,X/hHGJvlhMiD13zzLFTJYQ==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230407_025302.wav,597.844,2023-04-07,02:53:02,2,2023-04-06,14:53:02,14,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,74bQn3yvP5xZFZ9LHtWhsg==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230314_191002.wav,597.844,2023-03-14,19:10:02,19,2023-03-14,07:10:02,7,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,PvCcmf83Av54QY0OLkW+XQ==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230401_073202.wav,597.844,2023-04-01,07:32:02,7,2023-03-31,19:32:02,19,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,f4BXesT+4w5J/qO/YTLiwA==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230320_051002.wav,597.844,2023-03-20,05:10:02,5,2023-03-19,17:10:02,17,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,mOxwBUbWjsIBE0MqL6SYkw==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230319_164000.wav,599.846,2023-03-19,16:40:00,16,2023-03-19,04:40:00,4,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,JuTdhK6JRPC9bQDI0LUTuA==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230407_070402.wav,597.844,2023-04-07,07:04:02,7,2023-04-06,19:04:02,19,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,2Xm9cYd+dWNb8A4NfKFQDQ==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230325_063902.wav,597.844,2023-03-25,06:39:02,6,2023-03-24,18:39:02,18,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,JtwLwRNFf4SURyLFqasOkw==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230401_035202.wav,597.844,2023-04-01,03:52:02,3,2023-03-31,15:52:02,15,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,oMP9HDIMJmNZpHRFGecisA==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230325_000902.wav,597.844,2023-03-25,00:09:02,0,2023-03-24,12:09:02,12,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,nqTwacRehiIYqqDQolsc5g==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230407_030302.wav,597.844,2023-04-07,03:03:02,3,2023-04-06,15:03:02,15,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,VJj4PWaFIx84RgsInFfRUQ==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230401_074202.wav,597.844,2023-04-01,07:42:02,7,2023-03-31,19:42:02,19,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,wH23ZStyjfrsSlBXbk2y/g==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230314_192002.wav,597.844,2023-03-14,19:20:02,19,2023-03-14,07:20:02,7,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,vRJ4duw4nFsa9VPM4rQqyg==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230319_165002.wav,597.844,2023-03-19,16:50:02,16,2023-03-19,04:50:02,4,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,d4Luuvi4vDUf4eKZVSLF1A==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230407_071402.wav,597.844,2023-04-07,07:14:02,7,2023-04-06,19:14:02,19,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,GdR7jfSuzYIlJrTH/i4vJw==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230320_052002.wav,597.844,2023-03-20,05:20:02,5,2023-03-19,17:20:02,17,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,9G4IVXn3FxIUYedEs2AoEw==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230401_040202.wav,597.844,2023-04-01,04:02:02,4,2023-03-31,16:02:02,16,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,0dn9h+oJ4SnjvAIfuElmEQ==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230325_064902.wav,597.844,2023-03-25,06:49:02,6,2023-03-24,18:49:02,18,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,4r1j/+jdtTweG2DQRgVuFg==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230401_075202.wav,597.844,2023-04-01,07:52:02,7,2023-03-31,19:52:02,19,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,4zldtFuu25TAX37Ivtc8yg==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230401_080202.wav,57.98,2023-04-01,08:02:02,8,2023-03-31,20:02:02,20,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,hqFcWXbtPqEaTjo74pPXpg==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230407_031302.wav,597.844,2023-04-07,03:13:02,3,2023-04-06,15:13:02,15,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,5CRYNAvinOdKNnG4GC6xag==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS045\Data2,WSS045_20230407_072402.wav,597.844,2023-04-07,07:24:02,7,2023-04-06,19:24:02,19,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,fyfBcpp87bDyANVOiyi3NA==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230314_193002.wav,597.844,2023-03-14,19:30:02,19,2023-03-14,07:30:02,7,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,umB5VRDyT2QyeVVGBVj7SA==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230319_170002.wav,597.844,2023-03-19,17:00:02,17,2023-03-19,05:00:02,5,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,EES8sxboYvmw0M90ImKMIA==
D:\Muingmore acoustics,28-03-2023 to 11-04-2023 WSS049\Data2,WSS049_20230401_041202.wav,597.844,2023-04-01,04:12:02,4,2023-03-31,16:12:02,16,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,Ruh+W8KOp8XXOHw0rlMvTQ==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS045\Data2,WSS045_20230320_053002.wav,597.844,2023-03-20,05:30:02,5,2023-03-19,17:30:02,17,54,-7.3,Song Meter Mini Bat,SMU01853,3.0,WSS045,,,,,,,1,,,,,,+q6MutKj8+gEs60ncwGOJQ==
D:\Muingmore acoustics,13-03-2023 to 27-03-2023 WSS049\Data2,WSS049_20230325_065902.wav,597.844,2023-03-25,06:59:02,6,2023-03-24,18:59:02,18,54,-7.3,Song Meter Mini Bat,SMU00710,3.0,WSS049,,,,,,,1,,,,,,6R+gqHacNOn31ejKNsV2EQ==
